   50																																																		
CWxx043     	0.01454	0.01439	0.03554	0.07799	0.16354	0.07948	0.01857	0.15999	0.01422	0.01531	0.18257	0.03508	0.01484	0.16764	0.01441	0.01292	0.01258	0.01484	0.19766	0.16442	0.00000	0.01477	0.16843	0.03311	0.15635	0.01400	0.15387	0.07873	0.17154	0.01385	0.03533	0.15484	0.04574	0.16318	0.20581	0.03562	0.03392	0.01366	0.16547	0.16832	0.01380	0.16688	0.03620	0.16570	0.03441	0.01499	0.03430	0.16197	0.18355	0.03569
CWxx030     	0.01527	0.01724	0.03733	0.07901	0.16378	0.07969	0.01918	0.16050	0.01614	0.01678	0.18265	0.03657	0.01664	0.16777	0.01606	0.01611	0.01486	0.01628	0.19747	0.16418	0.01477	0.00000	0.16828	0.03485	0.15611	0.01650	0.15430	0.08031	0.17159	0.01591	0.03736	0.15510	0.04519	0.16359	0.20666	0.03805	0.03590	0.01607	0.16502	0.16831	0.01629	0.16686	0.03815	0.16604	0.03579	0.01704	0.03584	0.16154	0.18304	0.03786
PCOxx004    	0.16890	0.16924	0.16960	0.17197	0.05503	0.17096	0.16990	0.09267	0.16838	0.16863	0.16857	0.17065	0.16779	0.11669	0.16732	0.16779	0.16889	0.16779	0.17650	0.02578	0.16843	0.16828	0.00000	0.16895	0.09277	0.16941	0.08699	0.17426	0.03958	0.16878	0.16983	0.08877	0.17287	0.09501	0.19294	0.16971	0.16933	0.16891	0.02732	0.04836	0.16792	0.11519	0.17045	0.02645	0.16800	0.16820	0.16872	0.09295	0.16894	0.17117
CWxx008     	0.03529	0.03533	0.01778	0.07891	0.16329	0.08127	0.03666	0.16110	0.03482	0.03584	0.18363	0.02937	0.03455	0.16894	0.03473	0.03437	0.03393	0.03468	0.19765	0.16472	0.03311	0.03485	0.16895	0.00000	0.15730	0.03508	0.15521	0.08062	0.17125	0.03485	0.01816	0.15669	0.05405	0.16417	0.20674	0.01699	0.01545	0.03481	0.16569	0.16930	0.03411	0.16754	0.01886	0.16643	0.01602	0.03517	0.01646	0.16326	0.18460	0.01730
CSTxx001    	0.15702	0.15791	0.15671	0.16115	0.08742	0.16152	0.15889	0.03338	0.15646	0.15774	0.16259	0.15855	0.15597	0.10758	0.15571	0.15557	0.15722	0.15582	0.16828	0.08903	0.15635	0.15611	0.09277	0.15730	0.00000	0.15769	0.04203	0.16441	0.09289	0.15673	0.15812	0.04308	0.16098	0.02516	0.18559	0.15723	0.15741	0.15680	0.09146	0.09347	0.15637	0.10620	0.15814	0.09145	0.15580	0.15659	0.15797	0.03245	0.16430	0.15907
CWxx034     	0.01656	0.01554	0.03697	0.07831	0.16466	0.07967	0.01744	0.16157	0.01404	0.01638	0.18391	0.03586	0.01570	0.16906	0.01542	0.01373	0.01418	0.01555	0.19857	0.16559	0.01400	0.01650	0.16941	0.03508	0.15769	0.00000	0.15520	0.07974	0.17248	0.01390	0.03660	0.15645	0.04571	0.16473	0.20765	0.03676	0.03538	0.01390	0.16639	0.16977	0.01419	0.16796	0.03731	0.16691	0.03626	0.01463	0.03526	0.16299	0.18443	0.03718
CSTst002    	0.15424	0.15463	0.15527	0.15710	0.08366	0.15796	0.15560	0.04323	0.15423	0.15494	0.15564	0.15628	0.15330	0.10387	0.15266	0.15300	0.15456	0.15382	0.16448	0.08313	0.15387	0.15430	0.08699	0.15521	0.04203	0.15520	0.00000	0.16041	0.08709	0.15450	0.15541	0.02470	0.15805	0.04324	0.17852	0.15620	0.15566	0.15461	0.08609	0.08703	0.15378	0.10207	0.15573	0.08510	0.15333	0.15370	0.15502	0.04351	0.15673	0.15667
PMAxx001    	0.08040	0.08010	0.08142	0.04358	0.16911	0.04370	0.08097	0.16690	0.07972	0.07989	0.18605	0.08149	0.07921	0.17291	0.07856	0.07841	0.08019	0.07881	0.20381	0.16954	0.07873	0.08031	0.17426	0.08062	0.16441	0.07974	0.16041	0.00000	0.17698	0.07956	0.08158	0.16168	0.08506	0.16820	0.20951	0.08075	0.08090	0.07971	0.17148	0.17428	0.07893	0.17139	0.08235	0.17181	0.08040	0.07976	0.08032	0.16863	0.18731	0.08335
PCUxx001    	0.17150	0.17208	0.17185	0.17436	0.06159	0.17391	0.17287	0.09230	0.17075	0.17183	0.17274	0.17361	0.17061	0.11924	0.17026	0.17058	0.17211	0.17052	0.17939	0.03713	0.17154	0.17159	0.03958	0.17125	0.09289	0.17248	0.08709	0.17698	0.00000	0.17139	0.17257	0.08909	0.17528	0.09475	0.19681	0.17151	0.17197	0.17163	0.03667	0.05643	0.17084	0.11780	0.17296	0.03805	0.17030	0.17124	0.17127	0.09337	0.17300	0.17312
CWxx042     	0.01581	0.01433	0.03786	0.07876	0.16356	0.07964	0.01734	0.16098	0.00118	0.01567	0.18342	0.03635	0.01502	0.16827	0.01473	0.01299	0.01442	0.01459	0.19759	0.16465	0.01385	0.01591	0.16878	0.03485	0.15673	0.01390	0.15450	0.07956	0.17139	0.00000	0.03676	0.15557	0.04681	0.16386	0.20679	0.03754	0.03519	0.00107	0.16560	0.16890	0.01484	0.16704	0.03784	0.16619	0.03602	0.01554	0.03622	0.16215	0.18362	0.03803
